2017:11:14 10:32:23.201 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aircuve.view.ViewPackageApplicationTests], using SpringBootContextLoader 
2017:11:14 10:32:23.442 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.aircuve.ApiPackageApplication for test class com.aircuve.view.ViewPackageApplicationTests 
2017:11:14 10:32:23.455 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2017:11:14 10:32:23.458 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2017:11:14 10:32:23.460 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2017:11:14 10:32:23.460 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@10e92f8f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ce3cb8e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78b66d36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5223e5ee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@bef2d72, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@69b2283a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22a637e7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6fe7aac8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d119efb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@659a969b] 
2017:11:14 10:32:24.215 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Starting ViewPackageApplicationTests on bangseunghoui-MacBook-Pro.local with PID 15091 (started by bangseungho in /Users/bangseungho/git/api-demo) 
2017:11:14 10:32:24.220 INFO  --- [main] c.a.v.ViewPackageApplicationTests : No active profile set, falling back to default profiles: default 
2017:11:14 10:32:24.279 INFO  --- [main] o.s.w.c.s.GenericWebApplicationContext : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 10:32:24 KST 2017]; root of context hierarchy 
2017:11:14 10:32:26.321 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 10:32:24 KST 2017]; root of context hierarchy 
2017:11:14 10:32:26.407 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/login/request],methods=[POST]}" onto public java.lang.String com.aircuve.controller.ApiController.login(java.lang.String) 
2017:11:14 10:32:26.415 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2017:11:14 10:32:26.417 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2017:11:14 10:32:26.487 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 10:32:26.488 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 10:32:26.571 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 10:32:26.896 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Started ViewPackageApplicationTests in 3.324 seconds (JVM running for 4.364) 
2017:11:14 10:32:26.951 INFO  --- [Thread-2] o.s.w.c.s.GenericWebApplicationContext : Closing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 10:32:24 KST 2017]; root of context hierarchy 
2017:11:14 13:46:42.034 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aircuve.view.ViewPackageApplicationTests], using SpringBootContextLoader 
2017:11:14 13:46:42.053 INFO  --- [main] o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.aircuve.view.ViewPackageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2017:11:14 13:46:42.054 INFO  --- [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.aircuve.view.ViewPackageApplicationTests]: ViewPackageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2017:11:14 13:46:42.172 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.aircuve.ApiPackageApplication for test class com.aircuve.view.ViewPackageApplicationTests 
2017:11:14 13:46:42.185 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2017:11:14 13:46:42.200 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2017:11:14 13:46:42.202 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2017:11:14 13:46:42.203 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@309e345f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56a6d5a6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18ce0030, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4445629, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@45b9a632, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@25d250c6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4df50bcc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b26e945, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@63a65a25, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54c562f7] 
2017:11:14 13:46:42.214 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aircuve.view.ViewPackageApplicationTests], using SpringBootContextLoader 
2017:11:14 13:46:42.216 INFO  --- [main] o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.aircuve.view.ViewPackageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2017:11:14 13:46:42.217 INFO  --- [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.aircuve.view.ViewPackageApplicationTests]: ViewPackageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2017:11:14 13:46:42.229 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.aircuve.ApiPackageApplication for test class com.aircuve.view.ViewPackageApplicationTests 
2017:11:14 13:46:42.238 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2017:11:14 13:46:42.245 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2017:11:14 13:46:42.247 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2017:11:14 13:46:42.249 INFO  --- [main] o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@10e92f8f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ce3cb8e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78b66d36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5223e5ee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@bef2d72, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@69b2283a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22a637e7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6fe7aac8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d119efb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@659a969b] 
2017:11:14 13:46:42.954 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Starting ViewPackageApplicationTests on bangseunghoui-MacBook-Pro.local with PID 16470 (started by bangseungho in /Users/bangseungho/git/api-demo) 
2017:11:14 13:46:42.959 INFO  --- [main] c.a.v.ViewPackageApplicationTests : No active profile set, falling back to default profiles: default 
2017:11:14 13:46:43.025 INFO  --- [main] o.s.w.c.s.GenericWebApplicationContext : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 13:46:43 KST 2017]; root of context hierarchy 
2017:11:14 13:46:45.363 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 13:46:43 KST 2017]; root of context hierarchy 
2017:11:14 13:46:45.445 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/login/request],methods=[POST]}" onto public java.lang.String com.aircuve.controller.ApiController.login(java.lang.String) 
2017:11:14 13:46:45.451 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2017:11:14 13:46:45.452 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2017:11:14 13:46:45.521 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 13:46:45.522 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 13:46:45.593 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:11:14 13:46:45.863 INFO  --- [main] c.a.v.ViewPackageApplicationTests : Started ViewPackageApplicationTests in 3.495 seconds (JVM running for 4.404) 
2017:11:14 13:46:45.903 INFO  --- [Thread-2] o.s.w.c.s.GenericWebApplicationContext : Closing org.springframework.web.context.support.GenericWebApplicationContext@1bae316d: startup date [Tue Nov 14 13:46:43 KST 2017]; root of context hierarchy 
